"Gene > GO Annotation > Ontology Term . Name","Gene > Systematic Name","Gene > GO Annotation > Ontology Term . Namespace"
"nucleus","YMR255W","cellular_component"
"nucleus","YMR263W","cellular_component"
"nucleus","YMR268C","cellular_component"
"nucleus","YMR269W","cellular_component"
"nucleus","YMR270C","cellular_component"
"nucleus","YMR276W","cellular_component"
"nucleus","YMR277W","cellular_component"
"nucleus","YMR278W","cellular_component"
"nucleus","YMR284W","cellular_component"
"nucleus","YMR285C","cellular_component"
"nucleus","YMR288W","cellular_component"
"nucleus","YMR290C","cellular_component"
"nucleus","YMR308C","cellular_component"
"nucleus","YMR311C","cellular_component"
"nucleus","YMR312W","cellular_component"
"nucleus","YMR314W","cellular_component"
"nucleus","YNL002C","cellular_component"
"nucleus","YNL007C","cellular_component"
"nucleus","YNL015W","cellular_component"
"nucleus","YNL016W","cellular_component"
"nucleus","YNL021W","cellular_component"
"nucleus","YNL023C","cellular_component"
"nucleus","YNL025C","cellular_component"
"nucleus","YNL027W","cellular_component"
"nucleus","YNL036W","cellular_component"
"nucleus","YNL039W","cellular_component"
"nucleus","YNL042W","cellular_component"
"nucleus","YNL045W","cellular_component"
"nucleus","YNL053W","cellular_component"
"nucleus","YNL059C","cellular_component"
"nucleus","YNL061W","cellular_component"
"nucleus","YNL062C","cellular_component"
"nucleus","YNL068C","cellular_component"
"nucleus","YNL072W","cellular_component"
"nucleus","YNL075W","cellular_component"
"nucleus","YNL076W","cellular_component"
"nucleus","YNL077W","cellular_component"
"nucleus","YNL078W","cellular_component"
"nucleus","YNL082W","cellular_component"
"nucleus","YNL088W","cellular_component"
"nucleus","YNL097C","cellular_component"
"nucleus","YNL102W","cellular_component"
"nucleus","YNL103W","cellular_component"
"nucleus","YNL107W","cellular_component"
"nucleus","YNL110C","cellular_component"
"nucleus","YNL113W","cellular_component"
"nucleus","YNL118C","cellular_component"
"nucleus","YNL123W","cellular_component"
"nucleus","YNL124W","cellular_component"
"nucleus","YNL126W","cellular_component"
"nucleus","YNL132W","cellular_component"
"nucleus","YNL133C","cellular_component"
"nucleus","YNL135C","cellular_component"
"nucleus","YNL136W","cellular_component"
"nucleus","YNL139C","cellular_component"
"nucleus","YNL141W","cellular_component"
"nucleus","YNL148C","cellular_component"
"nucleus","YNL149C","cellular_component"
"nucleus","YNL151C","cellular_component"
"nucleus","YNL159C","cellular_component"
"nucleus","YNL161W","cellular_component"
"nucleus","YNL164C","cellular_component"
"nucleus","YNL167C","cellular_component"
"nucleus","YNL172W","cellular_component"
"nucleus","YNL173C","cellular_component"
"nucleus","YNL175C","cellular_component"
"nucleus","YNL180C","cellular_component"
"nucleus","YNL182C","cellular_component"
"nucleus","YNL186W","cellular_component"
"nucleus","YNL189W","cellular_component"
"nucleus","YNL199C","cellular_component"
"nucleus","YNL201C","cellular_component"
"nucleus","YNL206C","cellular_component"
"nucleus","YNL207W","cellular_component"
"nucleus","YNL215W","cellular_component"
"nucleus","YNL216W","cellular_component"
"nucleus","YNL218W","cellular_component"
"nucleus","YNL221C","cellular_component"
"nucleus","YNL222W","cellular_component"
"nucleus","YNL223W","cellular_component"
"nucleus","YNL224C","cellular_component"
"nucleus","YNL227C","cellular_component"
"nucleus","YNL232W","cellular_component"
"nucleus","YNL236W","cellular_component"
"nucleus","YNL240C","cellular_component"
"nucleus","YNL245C","cellular_component"
"nucleus","YNL248C","cellular_component"
"nucleus","YNL250W","cellular_component"
"nucleus","YNL251C","cellular_component"
"nucleus","YNL253W","cellular_component"
"nucleus","YNL254C","cellular_component"
"nucleus","YNL258C","cellular_component"
"nucleus","YNL261W","cellular_component"
"nucleus","YNL267W","cellular_component"
"nucleus","YNL273W","cellular_component"
"nucleus","YNL274C","cellular_component"
"nucleus","YNL278W","cellular_component"
"nucleus","YNL281W","cellular_component"
"nucleus","YNL282W","cellular_component"
"nucleus","YNL288W","cellular_component"
"nucleus","YNL289W","cellular_component"
"nucleus","YNL290W","cellular_component"
"nucleus","YNL292W","cellular_component"
"nucleus","YNL298W","cellular_component"
"nucleus","YNL299W","cellular_component"
"nucleus","YNL308C","cellular_component"
"nucleus","YNL309W","cellular_component"
"nucleus","YNL314W","cellular_component"
"nucleus","YNL317W","cellular_component"
"nucleus","YNL330C","cellular_component"
"nucleus","YNR003C","cellular_component"
"nucleus","YNR009W","cellular_component"
"nucleus","YNR010W","cellular_component"
"nucleus","YNR011C","cellular_component"
"nucleus","YNR012W","cellular_component"
"nucleus","YNR015W","cellular_component"
"nucleus","YNR023W","cellular_component"
"nucleus","YNR024W","cellular_component"
"nucleus","YNR027W","cellular_component"
"nucleus","YNR032W","cellular_component"
"nucleus","YNR034W","cellular_component"
"nucleus","YNR038W","cellular_component"
"nucleus","YNR046W","cellular_component"
"nucleus","YNR049C","cellular_component"
"nucleus","YNR052C","cellular_component"
"nucleus","YNR054C","cellular_component"
"nucleus","YNR074C","cellular_component"
"nucleus","YOL001W","cellular_component"
"nucleus","YOL004W","cellular_component"
"nucleus","YOL005C","cellular_component"
"nucleus","YOL006C","cellular_component"
"nucleus","YOL009C","cellular_component"
"nucleus","YOL012C","cellular_component"
"nucleus","YOL017W","cellular_component"
"nucleus","YOL021C","cellular_component"
"nucleus","YOL028C","cellular_component"
"nucleus","YOL032W","cellular_component"
"nucleus","YOL034W","cellular_component"
"nucleus","YOL038W","cellular_component"
"nucleus","YOL041C","cellular_component"
"nucleus","YOL043C","cellular_component"
"nucleus","YOL052C","cellular_component"
"nucleus","YOL057W","cellular_component"
"nucleus","YOL064C","cellular_component"
"nucleus","YOL067C","cellular_component"
"nucleus","YOL069W","cellular_component"
"nucleus","YOL072W","cellular_component"
"nucleus","YOL077C","cellular_component"
"nucleus","YOL080C","cellular_component"
"nucleus","YOL089C","cellular_component"
"nucleus","YOL090W","cellular_component"
"nucleus","YOL093W","cellular_component"
"nucleus","YOL094C","cellular_component"
"nucleus","YOL100W","cellular_component"
"nucleus","YOL101C","cellular_component"
"nucleus","YOL102C","cellular_component"
"nucleus","YOL108C","cellular_component"
"nucleus","YOL111C","cellular_component"
"nucleus","YOL113W","cellular_component"
"nucleus","YOL115W","cellular_component"
"nucleus","YOL116W","cellular_component"
"nucleus","YOL117W","cellular_component"
"nucleus","YOL123W","cellular_component"
"nucleus","YOL125W","cellular_component"
"nucleus","YOL133W","cellular_component"
"nucleus","YOL135C","cellular_component"
"nucleus","YOL139C","cellular_component"
"nucleus","YOL142W","cellular_component"
"nucleus","YOL143C","cellular_component"
"nucleus","YOL144W","cellular_component"
"nucleus","YOL145C","cellular_component"
"nucleus","YOL146W","cellular_component"
"nucleus","YOL148C","cellular_component"
"nucleus","YOL149W","cellular_component"
"nucleus","YOL151W","cellular_component"
"nucleus","YOR001W","cellular_component"
"nucleus","YOR004W","cellular_component"
"nucleus","YOR005C","cellular_component"
"nucleus","YOR014W","cellular_component"
"nucleus","YOR023C","cellular_component"
"nucleus","YOR025W","cellular_component"
"nucleus","YOR026W","cellular_component"
"nucleus","YOR028C","cellular_component"
"nucleus","YOR033C","cellular_component"
"nucleus","YOR038C","cellular_component"
"nucleus","YOR046C","cellular_component"
"nucleus","YOR047C","cellular_component"
"nucleus","YOR048C","cellular_component"
"nucleus","YOR052C","cellular_component"
"nucleus","YOR056C","cellular_component"
"nucleus","YOR064C","cellular_component"
"nucleus","YOR066W","cellular_component"
"nucleus","YOR073W","cellular_component"
"nucleus","YOR077W","cellular_component"
"nucleus","YOR095C","cellular_component"
"nucleus","YOR098C","cellular_component"
"nucleus","YOR110W","cellular_component"
"nucleus","YOR113W","cellular_component"
"nucleus","YOR116C","cellular_component"
"nucleus","YOR117W","cellular_component"
"nucleus","YOR119C","cellular_component"
"nucleus","YOR123C","cellular_component"
"nucleus","YOR129C","cellular_component"
"nucleus","YOR138C","cellular_component"
"nucleus","YOR140W","cellular_component"
"nucleus","YOR141C","cellular_component"
"nucleus","YOR144C","cellular_component"
"nucleus","YOR145C","cellular_component"
"nucleus","YOR148C","cellular_component"
"nucleus","YOR151C","cellular_component"
"nucleus","YOR157C","cellular_component"
"nucleus","YOR159C","cellular_component"
"nucleus","YOR160W","cellular_component"
"nucleus","YOR162C","cellular_component"
"nucleus","YOR163W","cellular_component"
"nucleus","YOR166C","cellular_component"
"nucleus","YOR172W","cellular_component"
"nucleus","YOR174W","cellular_component"
"nucleus","YOR179C","cellular_component"
"nucleus","YOR185C","cellular_component"
"nucleus","YOR189W","cellular_component"
"nucleus","YOR191W","cellular_component"
"nucleus","YOR194C","cellular_component"
"nucleus","YOR197W","cellular_component"
"nucleus","YOR204W","cellular_component"
"nucleus","YOR206W","cellular_component"
"nucleus","YOR207C","cellular_component"
"nucleus","YOR208W","cellular_component"
"nucleus","YOR209C","cellular_component"
"nucleus","YOR210W","cellular_component"
"nucleus","YOR213C","cellular_component"
"nucleus","YOR217W","cellular_component"
"nucleus","YOR224C","cellular_component"
"nucleus","YOR229W","cellular_component"
"nucleus","YOR230W","cellular_component"
"nucleus","YOR243C","cellular_component"
"nucleus","YOR244W","cellular_component"
"nucleus","YOR249C","cellular_component"
"nucleus","YOR250C","cellular_component"
"nucleus","YOR252W","cellular_component"
"nucleus","YOR254C","cellular_component"
"nucleus","YOR257W","cellular_component"
"nucleus","YOR258W","cellular_component"
"nucleus","YOR259C","cellular_component"
"nucleus","YOR264W","cellular_component"
"nucleus","YOR269W","cellular_component"
"nucleus","YOR272W","cellular_component"
"nucleus","YOR274W","cellular_component"
"nucleus","YOR275C","cellular_component"
"nucleus","YOR279C","cellular_component"
"nucleus","YOR290C","cellular_component"
"nucleus","YOR295W","cellular_component"
"nucleus","YOR304W","cellular_component"
"nucleus","YOR308C","cellular_component"
"nucleus","YOR310C","cellular_component"
"nucleus","YOR311C","cellular_component"
"nucleus","YOR315W","cellular_component"
"nucleus","YOR319W","cellular_component"
"nucleus","YOR329C","cellular_component"
"nucleus","YOR337W","cellular_component"
"nucleus","YOR341W","cellular_component"
"nucleus","YOR344C","cellular_component"
"nucleus","YOR346W","cellular_component"
"nucleus","YOR355W","cellular_component"
"nucleus","YOR358W","cellular_component"
"nucleus","YOR359W","cellular_component"
"nucleus","YOR360C","cellular_component"
"nucleus","YOR362C","cellular_component"
"nucleus","YOR363C","cellular_component"
"nucleus","YOR368W","cellular_component"
"nucleus","YOR370C","cellular_component"
"nucleus","YOR375C","cellular_component"
"nucleus","YOR380W","cellular_component"
"nucleus","YOR386W","cellular_component"
"nucleus","YPL001W","cellular_component"
"nucleus","YPL007C","cellular_component"
"nucleus","YPL008W","cellular_component"
"nucleus","YPL012W","cellular_component"
"nucleus","YPL015C","cellular_component"
"nucleus","YPL018W","cellular_component"
"nucleus","YPL022W","cellular_component"
"nucleus","YPL024W","cellular_component"
"nucleus","YPL026C","cellular_component"
"nucleus","YPL028W","cellular_component"
"nucleus","YPL037C","cellular_component"
"nucleus","YPL038W","cellular_component"
"nucleus","YPL042C","cellular_component"
"nucleus","YPL043W","cellular_component"
"nucleus","YPL046C","cellular_component"
"nucleus","YPL047W","cellular_component"
"nucleus","YPL048W","cellular_component"
"nucleus","YPL049C","cellular_component"
"nucleus","YPL055C","cellular_component"
"nucleus","YPL064C","cellular_component"
"nucleus","YPL082C","cellular_component"
"nucleus","YPL086C","cellular_component"
"nucleus","YPL089C","cellular_component"
"nucleus","YPL091W","cellular_component"
"nucleus","YPL093W","cellular_component"
"nucleus","YPL101W","cellular_component"
"nucleus","YPL111W","cellular_component"
"nucleus","YPL116W","cellular_component"
"nucleus","YPL117C","cellular_component"
"nucleus","YPL122C","cellular_component"
"nucleus","YPL124W","cellular_component"
"nucleus","YPL125W","cellular_component"
"nucleus","YPL126W","cellular_component"
"nucleus","YPL127C","cellular_component"
"nucleus","YPL128C","cellular_component"
"nucleus","YPL131W","cellular_component"
"nucleus","YPL133C","cellular_component"
"nucleus","YPL138C","cellular_component"
"nucleus","YPL139C","cellular_component"
"nucleus","YPL146C","cellular_component"
"nucleus","YPL151C","cellular_component"
"nucleus","YPL153C","cellular_component"
"nucleus","YPL157W","cellular_component"
"nucleus","YPL161C","cellular_component"
"nucleus","YPL164C","cellular_component"
"nucleus","YPL169C","cellular_component"
"nucleus","YPL177C","cellular_component"
"nucleus","YPL178W","cellular_component"
"nucleus","YPL181W","cellular_component"
"nucleus","YPL184C","cellular_component"
"nucleus","YPL193W","cellular_component"
"nucleus","YPL194W","cellular_component"
"nucleus","YPL202C","cellular_component"
"nucleus","YPL203W","cellular_component"
"nucleus","YPL204W","cellular_component"
"nucleus","YPL208W","cellular_component"
"nucleus","YPL209C","cellular_component"
"nucleus","YPL210C","cellular_component"
"nucleus","YPL211W","cellular_component"
"nucleus","YPL212C","cellular_component"
"nucleus","YPL213W","cellular_component"
"nucleus","YPL217C","cellular_component"
"nucleus","YPL219W","cellular_component"
"nucleus","YPL226W","cellular_component"
"nucleus","YPL228W","cellular_component"
"nucleus","YPL233W","cellular_component"
"nucleus","YPL235W","cellular_component"
"nucleus","YPL239W","cellular_component"
"nucleus","YPL243W","cellular_component"
"nucleus","YPL253C","cellular_component"
"nucleus","YPL254W","cellular_component"
"nucleus","YPL256C","cellular_component"
"nucleus","YPL266W","cellular_component"
"nucleus","YPL267W","cellular_component"
"nucleus","YPL269W","cellular_component"
"nucleus","YPR008W","cellular_component"
"nucleus","YPR009W","cellular_component"
"nucleus","YPR010C","cellular_component"
"nucleus","YPR016C","cellular_component"
"nucleus","YPR018W","cellular_component"
"nucleus","YPR019W","cellular_component"
"nucleus","YPR023C","cellular_component"
"nucleus","YPR031W","cellular_component"
"nucleus","YPR034W","cellular_component"
"nucleus","YPR035W","cellular_component"
"nucleus","YPR046W","cellular_component"
"nucleus","YPR051W","cellular_component"
"nucleus","YPR052C","cellular_component"
"nucleus","YPR056W","cellular_component"
"nucleus","YPR057W","cellular_component"
"nucleus","YPR060C","cellular_component"
"nucleus","YPR062W","cellular_component"
"nucleus","YPR065W","cellular_component"
"nucleus","YPR068C","cellular_component"
"nucleus","YPR069C","cellular_component"
"nucleus","YPR070W","cellular_component"
"nucleus","YPR072W","cellular_component"
"nucleus","YPR073C","cellular_component"
"nucleus","YPR082C","cellular_component"
"nucleus","YPR085C","cellular_component"
"nucleus","YPR086W","cellular_component"
"nucleus","YPR093C","cellular_component"
"nucleus","YPR094W","cellular_component"
"nucleus","YPR101W","cellular_component"
"nucleus","YPR103W","cellular_component"
"nucleus","YPR107C","cellular_component"
"nucleus","YPR108W","cellular_component"
"nucleus","YPR110C","cellular_component"
"nucleus","YPR112C","cellular_component"
"nucleus","YPR118W","cellular_component"
"nucleus","YPR120C","cellular_component"
"nucleus","YPR124W","cellular_component"
"nucleus","YPR133C","cellular_component"
"nucleus","YPR135W","cellular_component"
"nucleus","YPR137W","cellular_component"
"nucleus","YPR141C","cellular_component"
"nucleus","YPR143W","cellular_component"
"nucleus","YPR144C","cellular_component"
"nucleus","YPR152C","cellular_component"
"nucleus","YPR158W","cellular_component"
"nucleus","YPR161C","cellular_component"
"nucleus","YPR162C","cellular_component"
"nucleus","YPR164W","cellular_component"
"nucleus","YPR168W","cellular_component"
"nucleus","YPR169W","cellular_component"
"nucleus","YPR175W","cellular_component"
"nucleus","YPR178W","cellular_component"
"nucleus","YPR179C","cellular_component"
"nucleus","YPR180W","cellular_component"
"nucleus","YPR182W","cellular_component"
"nucleus","YPR184W","cellular_component"
"nucleus","YPR186C","cellular_component"
"nucleus","YPR189W","cellular_component"
"nucleus","YPR190C","cellular_component"
"nucleus","YPR199C","cellular_component"
"nucleus-associated proteasomal ubiquitin-dependent protein catabolic process","YDL126C","biological_process"
"nucleus-associated proteasomal ubiquitin-dependent protein catabolic process","YDR143C","biological_process"
"nucleus-associated proteasomal ubiquitin-dependent protein catabolic process","YIR011C","biological_process"
"nucleus-associated proteasomal ubiquitin-dependent protein catabolic process","YNL007C","biological_process"
"nucleus inheritance","YML104C","biological_process"
"nucleus organization","YLR293C","biological_process"
"nucleus organization","YOR185C","biological_process"
"nucleus-vacuole junction","YAR042W","cellular_component"
"nucleus-vacuole junction","YBR097W","cellular_component"
"nucleus-vacuole junction","YEL013W","cellular_component"
"nucleus-vacuole junction","YER120W","cellular_component"
"nucleus-vacuole junction","YLR240W","cellular_component"
"nucleus-vacuole junction","YPR091C","cellular_component"
"nucleus-vacuole junction assembly","YEL013W","biological_process"
"NURF complex","YBR245C","cellular_component"
"NURF complex","YOR304W","cellular_component"
"O-acyltransferase activity","YCR048W","molecular_function"
"O-acyltransferase activity","YGL084C","molecular_function"
"O-acyltransferase activity","YNR008W","molecular_function"
"O-acyltransferase activity","YNR019W","molecular_function"
"O-acyltransferase activity","YOR175C","molecular_function"
"octanoyltransferase activity","YLR239C","molecular_function"
"oligopeptide export from mitochondrion","YLR188W","biological_process"
"oligopeptide export from mitochondrion","YPL270W","biological_process"
"oligopeptide transport","YJL212C","biological_process"
"oligopeptide transport","YKR093W","biological_process"
"oligopeptide transporter activity","YJL212C","molecular_function"
"oligopeptide-transporting ATPase activity","YLR188W","molecular_function"
"oligopeptide-transporting ATPase activity","YPL270W","molecular_function"
"oligosaccharide binding","YDR057W","molecular_function"
"oligosaccharide-lipid intermediate biosynthetic process","YBL082C","biological_process"
"oligosaccharide-lipid intermediate biosynthetic process","YBR110W","biological_process"
"oligosaccharide-lipid intermediate biosynthetic process","YGL065C","biological_process"
"oligosaccharide-lipid intermediate biosynthetic process","YNL048W","biological_process"
"oligosaccharide-lipid intermediate biosynthetic process","YOR002W","biological_process"
"oligosaccharide-lipid intermediate biosynthetic process","YOR067C","biological_process"
"oligosaccharide metabolic process","YGL027C","biological_process"
"oligosaccharyl transferase activity","YGL022W","molecular_function"
"oligosaccharyltransferase complex","YDL232W","cellular_component"
"oligosaccharyltransferase complex","YEL002C","cellular_component"
"oligosaccharyltransferase complex","YGL022W","cellular_component"
"oligosaccharyltransferase complex","YJL002C","cellular_component"
"oligosaccharyltransferase complex","YML019W","cellular_component"
"oligosaccharyltransferase complex","YMR149W","cellular_component"
"oligosaccharyltransferase complex","YOR085W","cellular_component"
"oligosaccharyltransferase complex","YOR103C","cellular_component"
"omega peptidase activity","YBR058C","molecular_function"
"omega peptidase activity","YBR281C","molecular_function"
"omega peptidase activity","YNL191W","molecular_function"
"one-carbon metabolic process","YAL044C","biological_process"
"one-carbon metabolic process","YBR084W","biological_process"
"one-carbon metabolic process","YBR263W","biological_process"
"one-carbon metabolic process","YDR019C","biological_process"
"one-carbon metabolic process","YDR502C","biological_process"
"one-carbon metabolic process","YER043C","biological_process"
"one-carbon metabolic process","YGR204W","biological_process"
"one-carbon metabolic process","YKR080W","biological_process"
"one-carbon metabolic process","YLR058C","biological_process"
"one-carbon metabolic process","YLR180W","biological_process"
"one-carbon metabolic process","YMR113W","biological_process"
"one-carbon metabolic process","YMR189W","biological_process"
"one-carbon metabolic process","YOR236W","biological_process"
"one-carbon metabolic process","YOR241W","biological_process"
"organelle membrane","YER026C","cellular_component"
"organelle membrane","YGR175C","cellular_component"
"organelle membrane","YGR223C","cellular_component"
"organelle membrane","YJL145W","cellular_component"
"organelle membrane","YNL231C","cellular_component"
"organelle membrane","YOR175C","cellular_component"
"organelle membrane","YPR113W","cellular_component"
"organic acid phosphorylation","YMR220W","biological_process"
"organic acid transmembrane transporter activity","YBR104W","molecular_function"
"organic acid transmembrane transporter activity","YPL058C","molecular_function"
"organic acid transmembrane transporter activity","YPR058W","molecular_function"
"organic acid transport","YPL058C","biological_process"
"organic hydroxy compound transport","YNR055C","biological_process"
"origin recognition complex","YBR060C","cellular_component"
"origin recognition complex","YNL261W","cellular_component"
"origin recognition complex","YPR162C","cellular_component"
"ornithine biosynthetic process","YER069W","biological_process"
"ornithine biosynthetic process","YJL071W","biological_process"
"ornithine biosynthetic process","YMR062C","biological_process"
"ornithine biosynthetic process","YOL140W","biological_process"
"ornithine carbamoyltransferase inhibitor activity","YPL111W","molecular_function"
"ornithine decarboxylase activity","YKL184W","molecular_function"
"ornithine metabolic process","YLR438W","biological_process"
"ornithine-oxo-acid transaminase activity","YLR438W","molecular_function"
"orotate phosphoribosyltransferase activity","YML106W","molecular_function"
"osmosensor activity","YER118C","molecular_function"
"osmosensor activity","YGR014W","molecular_function"
"osmosensor activity","YIL147C","molecular_function"
"osmosensory signaling pathway","YBR260C","biological_process"
"osmosensory signaling pathway","YER118C","biological_process"
"osmosensory signaling pathway","YJL128C","biological_process"
"osmosensory signaling pathway","YLR113W","biological_process"
"osmosensory signaling pathway","YLR248W","biological_process"
"osmosensory signaling pathway","YPR075C","biological_process"
"osmosensory signaling pathway via Sho1 osmosensor","YCL032W","biological_process"
"osmosensory signaling pathway via Sho1 osmosensor","YGR014W","biological_process"
"osmosensory signaling pathway via Sho1 osmosensor","YHL007C","biological_process"
"osmosensory signaling pathway via Sho1 osmosensor","YLR362W","biological_process"
"osmosensory signaling via phosphorelay pathway","YDL235C","biological_process"
"osmosensory signaling via phosphorelay pathway","YIL147C","biological_process"
"osmosensory signaling via phosphorelay pathway","YLR006C","biological_process"
"osmosensory signaling via phosphorelay pathway","YNR031C","biological_process"
"outer membrane","YNL026W","cellular_component"
"outer membrane","YNL208W","cellular_component"
"outer plaque of spindle pole body","YAL047C","cellular_component"
"outer plaque of spindle pole body","YHR172W","cellular_component"
"outer plaque of spindle pole body","YLR212C","cellular_component"
"outer plaque of spindle pole body","YNL126W","cellular_component"
"outer plaque of spindle pole body","YNL225C","cellular_component"
"oxalate catabolic process","YBR222C","biological_process"
"oxalate-CoA ligase activity","YBR222C","molecular_function"
"oxaloacetate decarboxylase activity","YER010C","molecular_function"
"oxaloacetate decarboxylase activity","YKL029C","molecular_function"
"oxaloacetate transmembrane transporter activity","YKL120W","molecular_function"
"oxaloacetate transport","YKL120W","biological_process"
"oxidation-dependent protein catabolic process","YBL022C","biological_process"
"oxidation-reduction process","YAL060W","biological_process"
"oxidation-reduction process","YBL045C","biological_process"
"oxidation-reduction process","YBL064C","biological_process"
"oxidation-reduction process","YBL069W","biological_process"
"oxidation-reduction process","YBL098W","biological_process"
"oxidation-reduction process","YBR006W","biological_process"
"oxidation-reduction process","YBR014C","biological_process"
"oxidation-reduction process","YBR026C","biological_process"
"oxidation-reduction process","YBR035C","biological_process"
"oxidation-reduction process","YBR046C","biological_process"
"oxidation-reduction process","YBR052C","biological_process"
"oxidation-reduction process","YBR084W","biological_process"
"oxidation-reduction process","YBR115C","biological_process"
"oxidation-reduction process","YBR145W","biological_process"
"oxidation-reduction process","YBR149W","biological_process"
"oxidation-reduction process","YBR153W","biological_process"
"oxidation-reduction process","YBR159W","biological_process"
"oxidation-reduction process","YBR166C","biological_process"
"oxidation-reduction process","YBR221C","biological_process"
"oxidation-reduction process","YBR244W","biological_process"
"oxidation-reduction process","YBR256C","biological_process"
"oxidation-reduction process","YBR265W","biological_process"
"oxidation-reduction process","YCL030C","biological_process"
"oxidation-reduction process","YCL033C","biological_process"
"oxidation-reduction process","YCL035C","biological_process"
"oxidation-reduction process","YCR004C","biological_process"
"oxidation-reduction process","YCR083W","biological_process"
"oxidation-reduction process","YDL010W","biological_process"
"oxidation-reduction process","YDL015C","biological_process"
"oxidation-reduction process","YDL022W","biological_process"
"oxidation-reduction process","YDL066W","biological_process"
"oxidation-reduction process","YDL067C","biological_process"
"oxidation-reduction process","YDL078C","biological_process"
"oxidation-reduction process","YDL120W","biological_process"
"oxidation-reduction process","YDL124W","biological_process"
"oxidation-reduction process","YDL168W","biological_process"
"oxidation-reduction process","YDL174C","biological_process"
"oxidation-reduction process","YDL178W","biological_process"
"oxidation-reduction process","YDL215C","biological_process"
"oxidation-reduction process","YDR044W","biological_process"
"oxidation-reduction process","YDR098C","biological_process"
"oxidation-reduction process","YDR127W","biological_process"
"oxidation-reduction process","YDR158W","biological_process"
"oxidation-reduction process","YDR178W","biological_process"
"oxidation-reduction process","YDR197W","biological_process"
"oxidation-reduction process","YDR297W","biological_process"
"oxidation-reduction process","YDR347W","biological_process"
"oxidation-reduction process","YDR353W","biological_process"
"oxidation-reduction process","YDR368W","biological_process"
"oxidation-reduction process","YDR376W","biological_process"
"oxidation-reduction process","YDR513W","biological_process"
"oxidation-reduction process","YDR529C","biological_process"
"oxidation-reduction process","YEL024W","biological_process"
"oxidation-reduction process","YEL047C","biological_process"
"oxidation-reduction process","YEL071W","biological_process"
"oxidation-reduction process","YER014W","biological_process"
"oxidation-reduction process","YER023W","biological_process"
"oxidation-reduction process","YER042W","biological_process"
"oxidation-reduction process","YER049W","biological_process"
"oxidation-reduction process","YER051W","biological_process"
"oxidation-reduction process","YER069W","biological_process"
"oxidation-reduction process","YER070W","biological_process"
"oxidation-reduction process","YER073W","biological_process"
"oxidation-reduction process","YER081W","biological_process"
"oxidation-reduction process","YER101C","biological_process"
"oxidation-reduction process","YER174C","biological_process"
"oxidation-reduction process","YER178W","biological_process"
"oxidation-reduction process","YFL041W","biological_process"
"oxidation-reduction process","YFR030W","biological_process"
"oxidation-reduction process","YFR033C","biological_process"
"oxidation-reduction process","YGL001C","biological_process"
"oxidation-reduction process","YGL012W","biological_process"
"oxidation-reduction process","YGL039W","biological_process"
"oxidation-reduction process","YGL055W","biological_process"
"oxidation-reduction process","YGL125W","biological_process"
"oxidation-reduction process","YGL157W","biological_process"
"oxidation-reduction process","YGL160W","biological_process"
"oxidation-reduction process","YGL187C","biological_process"
"oxidation-reduction process","YGL191W","biological_process"
"oxidation-reduction process","YGL256W","biological_process"
"oxidation-reduction process","YGR060W","biological_process"
"oxidation-reduction process","YGR088W","biological_process"
"oxidation-reduction process","YGR175C","biological_process"
"oxidation-reduction process","YGR180C","biological_process"
"oxidation-reduction process","YGR204W","biological_process"
"oxidation-reduction process","YGR207C","biological_process"
"oxidation-reduction process","YGR209C","biological_process"
"oxidation-reduction process","YGR234W","biological_process"
"oxidation-reduction process","YGR255C","biological_process"
"oxidation-reduction process","YHR007C","biological_process"
"oxidation-reduction process","YHR008C","biological_process"
"oxidation-reduction process","YHR037W","biological_process"
"oxidation-reduction process","YHR039C","biological_process"
"oxidation-reduction process","YHR042W","biological_process"
"oxidation-reduction process","YHR051W","biological_process"
"oxidation-reduction process","YHR063C","biological_process"
"oxidation-reduction process","YHR067W","biological_process"
"oxidation-reduction process","YHR104W","biological_process"
"oxidation-reduction process","YHR106W","biological_process"
"oxidation-reduction process","YHR179W","biological_process"
"oxidation-reduction process","YHR183W","biological_process"
"oxidation-reduction process","YHR190W","biological_process"
"oxidation-reduction process","YIL010W","biological_process"
"oxidation-reduction process","YIL043C","biological_process"
"oxidation-reduction process","YIL049W","biological_process"
"oxidation-reduction process","YIL074C","biological_process"
"oxidation-reduction process","YIL094C","biological_process"
"oxidation-reduction process","YIL124W","biological_process"
"oxidation-reduction process","YIL125W","biological_process"
"oxidation-reduction process","YIL155C","biological_process"
"oxidation-reduction process","YIR034C","biological_process"
"oxidation-reduction process","YIR037W","biological_process"
"oxidation-reduction process","YJL026W","biological_process"
"oxidation-reduction process","YJL050W","biological_process"
"oxidation-reduction process","YJL166W","biological_process"
"oxidation-reduction process","YJR025C","biological_process"
"oxidation-reduction process","YJR048W","biological_process"
"oxidation-reduction process","YJR051W","biological_process"
"oxidation-reduction process","YJR070C","biological_process"
"oxidation-reduction process","YJR096W","biological_process"
"oxidation-reduction process","YJR101W","biological_process"
"oxidation-reduction process","YJR104C","biological_process"
"oxidation-reduction process","YJR119C","biological_process"
"oxidation-reduction process","YJR137C","biological_process"
"oxidation-reduction process","YJR139C","biological_process"
"oxidation-reduction process","YKL029C","biological_process"
"oxidation-reduction process","YKL069W","biological_process"
"oxidation-reduction process","YKL085W","biological_process"
"oxidation-reduction process","YKL141W","biological_process"
"oxidation-reduction process","YKL148C","biological_process"
